sample_ID	sample_type	individual	sex	age	collection_date
MB100147	rectal	9P6	m	4	10/21/16
MB100150	buccal	9P6	m	4	10/21/16
MB100198	rectal	50P	m	16	10/21/16
MB100201	buccal	50P	m	16	10/21/16
MB100247	genital	3L6	m	6	10/26/16
MB100249	rectal	3L6	m	6	10/26/16
MB100252	buccal	3L6	m	6	10/26/16
MB100298	genital	5N1	f	5	10/21/16
MB100300	rectal	5N1	f	5	10/21/16
MB100303	buccal	5N1	f	5	10/21/16
MB100349	genital	03Z	f	13	10/26/16
MB100351	rectal	03Z	f	13	10/26/16
MB100354	buccal	03Z	f	13	10/26/16
MB100400	genital	22H	f	20	10/24/16
MB100402	rectal	22H	f	20	10/24/16
MB100405	buccal	22H	f	20	10/24/16
MB100451	genital	3L5	m	6	10/24/16
MB100453	rectal	3L5	m	6	10/24/16
MB100456	buccal	3L5	m	6	10/24/16
MB100502	genital	3N4	f	5	10/26/16
MB100504	rectal	3N4	f	5	10/26/16
MB100507	buccal	3N4	f	5	10/26/16
MB100553	genital	4J0	m	7	10/24/16
MB100555	rectal	4J0	m	7	10/24/16
MB100558	buccal	4J0	m	7	10/24/16
MB100604	genital	8L6	m	6	10/24/16
MB100606	rectal	8L6	m	6	10/24/16
MB100609	buccal	8L6	m	6	10/24/16
MB100657	rectal	I1722H	f	0	10/24/16
MB100706	genital	4Q6	f	3	10/24/16
MB100708	rectal	4Q6	f	3	10/24/16
MB100711	buccal	4Q6	f	3	10/24/16
MB100757	genital	91O	m	16	10/24/16
MB100759	rectal	91O	m	16	10/24/16
MB100762	buccal	91O	m	16	10/24/16
MB100808	genital	9I7	f	7	10/26/16
MB100810	rectal	9I7	f	7	10/26/16
MB100813	buccal	9I7	f	7	10/26/16
MB100856	genital	94O	m	16	10/25/16
MB100858	rectal	94O	m	16	10/25/16
MB100861	buccal	94O	m	16	10/25/16
MB100906	rectal	I1703Z	f	0	10/25/16
MB100909	buccal	I1703Z	f	0	10/25/16
MB100952	genital	I173N4	m	0	10/25/16
MB100954	rectal	I173N4	m	0	10/25/16
MB100957	buccal	I173N4	m	0	10/25/16
MB101000	genital	4C6	m	11	10/27/16
MB101002	rectal	4C6	m	11	10/27/16
MB101005	buccal	4C6	m	11	10/27/16
MB101051	genital	4I9	f	7	10/27/16
MB101053	rectal	4I9	f	7	10/27/16
MB101056	buccal	4I9	f	7	10/27/16
MB101102	genital	60T	m	14	10/27/16
MB101104	rectal	60T	m	14	10/27/16
MB101107	buccal	60T	m	14	10/27/16
MB101153	genital	20S	f	15	10/27/16
MB101155	rectal	20S	f	15	10/27/16
MB101158	buccal	20S	f	15	10/27/16
MB101206	rectal	I1720S	f	0	10/27/16
MB101209	buccal	I1720S	f	0	10/27/16
MB101255	genital	55R	f	15	10/28/16
MB101257	rectal	55R	f	15	10/28/16
MB101260	buccal	55R	f	15	10/28/16
MB101308	rectal	I1755R	f	0	10/28/16
MB101311	buccal	I1755R	f	0	10/28/16
MB101357	genital	65Z	f	12	10/28/16
MB101359	rectal	65Z	f	12	10/28/16
MB101362	buccal	65Z	f	12	10/28/16
MB101410	rectal	I1765Z	f	0	10/28/16
MB101413	buccal	I1765Z	f	0	10/28/16
MB101459	genital	94S	f	14	10/28/16
MB101461	rectal	94S	f	14	10/28/16
MB101464	buccal	94S	f	14	10/28/16
MB101512	rectal	I1794S	f	0	10/28/16
MB101515	buccal	I1794S	f	0	10/28/16
MB101561	genital	1G8	m	8	10/27/16
MB101563	rectal	1G8	m	8	10/27/16
MB101566	buccal	1G8	m	8	10/27/16
MB101612	genital	3A6	m	12	11/1/16
MB101614	rectal	3A6	m	12	11/1/16
MB101617	buccal	3A6	m	12	11/1/16
MB101663	genital	2Q0	f	3	11/1/16
MB101665	rectal	2Q0	f	3	11/1/16
MB101668	buccal	2Q0	f	3	11/1/16
MB101714	genital	3R3	f	3	10/31/16
MB101716	rectal	3R3	f	3	10/31/16
MB101719	buccal	3R3	f	3	10/31/16
MB101765	genital	41N	m	17	10/31/16
MB101767	rectal	41N	m	17	10/31/16
MB101770	buccal	41N	m	17	10/31/16
MB101816	genital	1B7	m	11	11/16/16
MB101818	rectal	1B7	m	11	11/16/16
MB101821	buccal	1B7	m	11	11/16/16
MB101867	genital	43N	m	17	11/10/16
MB101869	rectal	43N	m	17	11/10/16
MB101872	buccal	43N	m	17	11/10/16
MB101969	genital	16S	f	15	12/19/16
MB101971	rectal	16S	f	15	12/19/16
MB101974	buccal	16S	f	15	12/19/16
MB102020	genital	5R9	m	3	11/1/16
MB102022	rectal	5R9	m	3	11/1/16
MB102025	buccal	5R9	m	3	11/1/16
MB102071	genital	9I5	f	7	11/1/16
MB102073	rectal	9I5	f	7	11/1/16
MB102076	buccal	9I5	f	7	11/1/16
MB102173	genital	2S8	f	3	12/13/16
MB102175	rectal	2S8	f	3	12/13/16
MB102178	buccal	2S8	f	3	12/13/16
MB102224	genital	9C6	m	10	12/13/16
MB102229	buccal	9C6	m	10	12/13/16
MB102275	genital	62S	f	14	11/2/16
MB102277	rectal	62S	f	14	11/2/16
MB102280	buccal	62S	f	14	11/2/16
MB102326	genital	I1762S	m	0	11/2/16
MB102328	rectal	I1762S	m	0	11/2/16
MB102331	buccal	I1762S	m	0	11/2/16
MB102377	genital	5H7	m	8	12/13/16
MB102379	rectal	5H7	m	8	12/13/16
MB102382	buccal	5H7	m	8	12/13/16
MB102479	genital	V80	f	26	12/1/16
MB102481	rectal	V80	f	26	12/1/16
MB102484	buccal	V80	f	26	12/1/16
MB102530	genital	0B9	f	12	12/14/16
MB102532	rectal	0B9	f	12	12/14/16
MB102535	buccal	0B9	f	12	12/14/16
MB102632	genital	1Q8	m	4	12/12/16
MB102634	rectal	1Q8	m	4	12/12/16
MB102637	buccal	1Q8	m	4	12/12/16
MB102683	genital	2C0	f	11	12/20/16
MB102685	rectal	2C0	f	11	12/20/16
MB102688	buccal	2C0	f	11	12/20/16
MB102734	genital	2C7	f	11	12/8/16
MB102736	rectal	2C7	f	11	12/8/16
MB102739	buccal	2C7	f	11	12/8/16
MB102836	genital	2E9	f	10	12/20/16
MB102838	rectal	2E9	f	10	12/20/16
MB102841	buccal	2E9	f	10	12/20/16
MB102938	genital	2R4	m	3	11/17/16
MB102940	rectal	2R4	m	3	11/17/16
MB102943	buccal	2R4	m	3	11/17/16
MB102989	genital	2S6	m	3	12/1/16
MB102991	rectal	2S6	m	3	12/1/16
MB102994	buccal	2S6	m	3	12/1/16
MB103040	genital	36O	f	16	12/15/16
MB103042	rectal	36O	f	16	12/15/16
MB103045	buccal	36O	f	16	12/15/16
MB103091	genital	3A9	f	12	12/15/16
MB103093	rectal	3A9	f	12	12/15/16
MB103096	buccal	3A9	f	12	12/15/16
MB103193	genital	3P7	f	4	12/19/16
MB103195	rectal	3P7	f	4	12/19/16
MB103198	buccal	3P7	f	4	12/19/16
MB103244	genital	3R1	m	3	12/13/16
MB103246	rectal	3R1	m	3	12/13/16
MB103249	buccal	3R1	m	3	12/13/16
MB103295	genital	3R7	m	3	12/14/16
MB103297	rectal	3R7	m	3	12/14/16
MB103300	buccal	3R7	m	3	12/14/16
MB103346	genital	48V	f	13	11/16/16
MB103348	rectal	48V	f	13	11/16/16
MB103351	buccal	48V	f	13	11/16/16
MB103397	genital	49Z	m	12	12/8/16
MB103399	rectal	49Z	m	12	12/8/16
MB103402	buccal	49Z	m	12	12/8/16
MB103499	genital	4J3	f	7	12/8/16
MB103501	rectal	4J3	f	7	12/8/16
MB103504	buccal	4J3	f	7	12/8/16
MB103550	genital	4J6	f	7	11/16/16
MB103552	rectal	4J6	f	7	11/16/16
MB103555	buccal	4J6	f	7	11/16/16
MB103601	genital	4N8	m	5	12/8/16
MB103603	rectal	4N8	m	5	12/8/16
MB103606	buccal	4N8	m	5	12/8/16
MB103652	genital	4S0	f	3	12/12/16
MB103654	rectal	4S0	f	3	12/12/16
MB103657	buccal	4S0	f	3	12/12/16
MB103703	genital	4S3	f	3	12/8/16
MB103705	rectal	4S3	f	3	12/8/16
MB103708	buccal	4S3	f	3	12/8/16
MB103754	genital	56R	f	15	11/15/16
MB103756	rectal	56R	f	15	11/15/16
MB103759	buccal	56R	f	15	11/15/16
MB103805	genital	5B6	f	11	12/14/16
MB103807	rectal	5B6	f	11	12/14/16
MB103810	buccal	5B6	f	11	12/14/16
MB103856	genital	5I9	f	7	12/14/16
MB103858	rectal	5I9	f	7	12/14/16
MB103861	buccal	5I9	f	7	12/14/16
MB103907	genital	5J6	f	7	12/14/16
MB103909	rectal	5J6	f	7	12/14/16
MB103912	buccal	5J6	f	7	12/14/16
MB103958	genital	5P6	f	4	12/8/16
MB103960	rectal	5P6	f	4	12/8/16
MB103963	buccal	5P6	f	4	12/8/16
MB104009	genital	6B4	f	11	12/12/16
MB104011	rectal	6B4	f	11	12/12/16
MB104014	buccal	6B4	f	11	12/12/16
MB104060	genital	6H6	f	8	12/15/16
MB104062	rectal	6H6	f	8	12/15/16
MB104065	buccal	6H6	f	8	12/15/16
MB104111	genital	6R9	m	3	12/15/16
MB104113	rectal	6R9	m	3	12/15/16
MB104116	buccal	6R9	m	3	12/15/16
MB104162	genital	77S	f	14	12/1/16
MB104164	rectal	77S	f	14	12/1/16
MB104167	buccal	77S	f	14	12/1/16
MB104213	genital	7E0	f	9	12/13/16
MB104215	rectal	7E0	f	9	12/13/16
MB104218	buccal	7E0	f	9	12/13/16
MB104264	genital	7E3	f	9	12/12/16
MB104266	rectal	7E3	f	9	12/12/16
MB104269	buccal	7E3	f	9	12/12/16
MB104315	genital	7L7	f	6	12/15/16
MB104317	rectal	7L7	f	6	12/15/16
MB104320	buccal	7L7	f	6	12/15/16
MB104417	genital	80S	f	14	12/19/16
MB104419	rectal	80S	f	14	12/19/16
MB104422	buccal	80S	f	14	12/19/16
MB104468	genital	800	f	9	11/17/16
MB104470	rectal	800	f	9	11/17/16
MB104473	buccal	800	f	9	11/17/16
MB104519	genital	8K7	f	6	12/2/16
MB104521	rectal	8K7	f	6	12/2/16
MB104524	buccal	8K7	f	6	12/2/16
MB104570	genital	9P5	f	4	12/1/16
MB104572	rectal	9P5	f	4	12/1/16
MB104575	buccal	9P5	f	4	12/1/16
MB104674	rectal	I1748V	f	0	11/16/16
MB104677	buccal	I1748V	f	0	11/16/16
MB104723	genital	I174J3	m	0	12/8/16
MB104725	rectal	I174J3	m	0	12/8/16
MB104728	buccal	I174J3	m	0	12/8/16
MB104774	genital	I174J6	m	0	11/16/16
MB104776	rectal	I174J6	m	0	11/16/16
MB104779	buccal	I174J6	m	0	11/16/16
MB104878	rectal	I1756R	f	0	11/15/16
MB104881	buccal	I1756R	f	0	11/15/16
MB104927	genital	I175B6	f	0	12/14/16
MB104929	rectal	I175B6	f	0	12/14/16
MB104932	buccal	I175B6	f	0	12/14/16
MB105080	genital	I176B4	m	0	12/12/16
MB105082	rectal	I176B4	m	0	12/12/16
MB105085	buccal	I176B4	m	0	12/12/16
MB105182	genital	I1777S	m	0	12/1/16
MB105184	rectal	I1777S	m	0	12/1/16
MB105187	buccal	I1777S	m	0	12/1/16
MB105235	rectal	I177E0	f	0	12/13/16
MB105238	buccal	I177E0	f	0	12/13/16
MB105284	genital	I177E3	f	0	12/12/16
MB105286	rectal	I177E3	f	0	12/12/16
MB105289	buccal	I177E3	f	0	12/12/16
MB105335	genital	I177L7	m	0	12/15/16
MB105337	rectal	I177L7	m	0	12/15/16
MB105340	buccal	I177L7	m	0	12/15/16
MB105847	rectal	I172C0	f	0	12/19/16
MB105850	buccal	I172C0	f	0	12/19/16
MB105896	genital	I172E9	m	0	12/19/16
MB105898	rectal	I172E9	m	0	12/19/16
MB105901	buccal	I172E9	m	0	12/19/16
NegCtrl13	negcontrol	ctrl		NA	NA
NegCtrl17	negcontrol	ctrl		NA	NA
NegCtrl3	negcontrol	ctrl		NA	NA
NegCtrl5	negcontrol	ctrl		NA	NA
UndilutedPos	poscontrol	ctrl		NA	NA
